id,title,text,vote_count,status,average_votes,created_at,updated_at
530335,Dump this feedback tab!,"It's too bright, users can't close or move it.  Do you really want the most arresting visual on your site to be an annoying advertisement for another company??",1,planned,1.0,Sat Mar 06 00:29:45 +0000 2010,Wed Mar 24 04:36:00 +0000 2010
93519,Find workaround for resizing not working on Chrome/Opera/IE7,"Some modern browsers apply the ""don't allow resizing of a window that's not opened by this window"" security policy to the window.resizeTo method. One workaround could be to popup a new window, with given dimensions.",2,completed,2.0,Mon Dec 22 19:11:34 +0000 2008,Sat Dec 27 20:57:39 +0000 2008
34715,Add Silverlight to plugin detection,Microsoft Silverlight should be included in the plugin check at whatsmy.browsersize.com,3,completed,1.5,Wed Oct 08 17:56:21 +0000 2008,Sun Dec 21 21:58:25 +0000 2008
87151,Offer bookmarklets for each browser size,I'd like to set up bookmarklets for my Bookmarks toolbar.  It would be nice if each button was a bookmarkable link.,5,completed,2.5,Wed Dec 10 15:18:49 +0000 2008,Mon Dec 22 17:26:42 +0000 2008
96232,setmy.browsersize.com/<width>x<height>,This feature is temporarily taken offline due to some glitches that arose after the introduction of the popup workaround.,9,completed,3.0,Tue Dec 30 18:57:44 +0000 2008,Fri Jul 03 15:50:18 +0000 2009
32186,Investigate setting browser size not working on IE7,There have been numerous reports that setmy.browsersize.com is not working for IE7 for some people.,11,duplicate,2.75,Thu Oct 02 04:19:42 +0000 2008,Sat Dec 27 02:34:22 +0000 2008
30251,Add sparklines to stats to show historic trends,Sparklines next to screen resolution stats to show historic trends going back a year,1,,1.0,Mon Sep 29 16:53:16 +0000 2008,Mon Sep 29 16:53:16 +0000 2008
419362,http://www.chowari.jp/,"",1,,1.0,Thu Dec 17 08:26:18 +0000 2009,Thu Dec 17 08:26:18 +0000 2009
34718,Show viewport size at whatsmy.browsersize.com,"Add info about the usable area (viewport) inside the browser, maximized on these screen dimensions on different platforms.",13,,2.16666666666667,Wed Oct 08 18:01:35 +0000 2008,Wed Oct 08 18:01:35 +0000 2008
122971,Global Stats are for screen size. What about browser size?,"Everyone says people have wide screens so we should make websites wider, but what if no ones browser is wide?",20,,2.0,Mon Feb 16 00:33:19 +0000 2009,Mon Feb 16 00:33:19 +0000 2009
